Date,Coral ID,Feeding,Feeding_binary
27-May,R-11 A V,Y,1
28-May,R-11 A V,Y,1
29-May,R-11 A V,Y,1
30-May,R-11 A V,Y,1
31-May,R-11 A V,Y,1
1-Jun,R-11 A V,Y,1
2-Jun,R-11 A V,Y,1
3-Jun,R-11 A V,Y,1
4-Jun,R-11 A V,Y,1
5-Jun,R-11 A V,Y,1
1-Jun,R-11 H D,Y,1
2-Jun,R-11 H D,Y,1
3-Jun,R-11 H D,Y,1
4-Jun,R-11 H D,Y,1
5-Jun,R-11 H D,Y,1
28-May,R-11 H V,Y,1
29-May,R-11 H V,Y,1
26-May,R-12 A D,Y,1
27-May,R-12 A D,Y,1
28-May,R-12 A D,Y,1
25-May,R-12 A V,Y,1
26-May,R-12 A V,Y,1
27-May,R-12 A V,Y,1
28-May,R-12 A V,Y,1
29-May,R-12 A V,Y,1
30-May,R-12 A V,Y,1
31-May,R-12 A V,Y,1
1-Jun,R-12 A V,Y,1
2-Jun,R-12 A V,Y,1
3-Jun,R-12 A V,Y,1
4-Jun,R-12 A V,Y,1
5-Jun,R-12 A V,Y,1
26-May,R-12 H D,Y,1
27-May,R-12 H D,Y,1
28-May,R-12 H D,Y,1
30-May,R-12 H D,Y,1
1-Jun,R-12 H D,Y,1
2-Jun,R-12 H D,Y,1
3-Jun,R-12 H D,Y,1
4-Jun,R-12 H D,Y,1
5-Jun,R-12 H D,Y,1
25-May,R-12 H V,Y,1
26-May,R-12 H V,Y,1
27-May,R-12 H V,Y,1
28-May,R-12 H V,Y,1
29-May,R-12 H V,Y,1
30-May,R-12 H V,Y,1
31-May,R-12 H V,Y,1
1-Jun,R-12 H V,Y,1
2-Jun,R-12 H V,Y,1
3-Jun,R-12 H V,Y,1
4-Jun,R-12 H V,Y,1
5-Jun,R-12 H V,Y,1
31-May,R-13 A D,Y,1
25-May,R-13 A V,Y,1
26-May,R-13 A V,Y,1
27-May,R-13 A V,Y,1
28-May,R-13 A V,Y,1
29-May,R-13 A V,Y,1
30-May,R-13 A V,Y,1
31-May,R-13 A V,Y,1
1-Jun,R-13 A V,Y,1
2-Jun,R-13 A V,Y,1
3-Jun,R-13 A V,Y,1
4-Jun,R-13 A V,Y,1
5-Jun,R-13 A V,Y,1
